data_date,category,subtype,brand,series,model,condition,price,unit,note,source_image
2026-07-10,其它,内存卡,,点数/内存,通点,单点/测试,5,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,128M,单点/测试,1,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,256M,单点/测试,2,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,512M,单点/测试,2,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,1G,单点/测试,3,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,2G,单点/测试,5.5,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,4G,单点/测试,5.5,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,8G,单点/测试,6,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,16G,单点/测试,8,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,32G,单点/测试,9,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,64G,单点/测试,14,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,128G,单点/测试,29,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,256G,单点/测试,44,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,点数/内存,512G,单点/测试,49,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,其它类型,假卡、断卡、生锈卡、升级卡,单点,0.5,元/斤,,内存卡.jpg
2026-07-10,其它,内存卡,,其它类型,U盘,单点,10,元/个,,内存卡.jpg
2026-07-10,其它,内存卡,,其它类型,大卡,单点,0.4,元/个,,内存卡.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z10,开机屏好,240,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z10,开机屏好外屏碎,80,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z10,不开机,40,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z9,开机屏好,180,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z9,开机屏好外屏碎,64,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z9,不开机,18,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z8,开机屏好,120,元/个,,儿童手表.jpg
2026-07-10,其它,儿童手表,小天才,儿童手表,小天才Z8,开机屏好外屏碎,40,元/个,,儿童手表.jpg
