record_id,data_date,category,subtype,brand,series,model,model_code,alias,condition,price,unit,note,origin,source_image,source_path,verified,confidence,verification
20260825-8b6f4752f4e2a3a591de-01,2026-08-25,手机,device,华为,3,G730,G730,G730,开机碎屏,9,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-6bde3c7dc87d835c2cdd-01,2026-08-25,手机,device,华为,3,G730,G730,G730,开机坏配件,9,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-9936d4a9110d828667ff-01,2026-08-25,手机,device,华为,3,G730,G730,G730,不开机,9,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-231f38c56b852772cebf-01,2026-08-25,手机,device,华为,3,G730,G730,G730,废板·整机,9,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-5a229f9d7b80c3195dbc-01,2026-08-25,手机,device,华为,3,G730,G730,G730,统货,/,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-883de73f73fff138afeb-01,2026-08-25,手机,device,华为,4,G7p,RIO-TL00,G7p,开机靓好,25,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-9babfb972055ecf402c1-01,2026-08-25,手机,device,华为,4,G7p,RIO-TL00,G7p,开机好碎,25,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-91bcb2ed144e43c4c45d-01,2026-08-25,手机,device,华为,4,G7p,RIO-TL00,G7p,开机碎屏,25,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-7782aee9b78d0c29172b-01,2026-08-25,手机,device,华为,4,G7p,RIO-TL00,G7p,开机坏配件,25,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
20260825-4ea138e6253f25531017-01,2026-08-25,手机,device,华为,4,G7p,RIO-TL00,G7p,不开机,25,CNY/台,/,image,华为2.jpg,数码网报价单-0825更新/手机相关/华为2.jpg,1,1.0,visual_0825_source_crosschecked
